municipio_ibge,municipio,unidade_ifpb,tipo_unidade,fase_inicial,fonte_codigo
2501104,Areia,Campus Avancado Areia,campus_avancado,superior,IBGE
2503209,Cabedelo,Campus Cabedelo,campus,superior,IBGE
2503209,Cabedelo,Campus Avancado Cabedelo Centro,campus_avancado,superior,IBGE
2503704,Cajazeiras,Campus Cajazeiras,campus,superior,IBGE
2504009,Campina Grande,Campus Campina Grande,campus,superior,IBGE
2504306,Catole do Rocha,Campus Catole do Rocha,campus,superior,IBGE
2506004,Esperanca,Campus Esperanca,campus,superior,IBGE
2506301,Guarabira,Campus Guarabira,campus,superior,IBGE
2506905,Itabaiana,Campus Itabaiana,campus,superior,IBGE
2507002,Itaporanga,Campus Itaporanga,campus,superior,IBGE
2507507,Joao Pessoa,Campus Joao Pessoa,campus,superior,IBGE
2507507,Joao Pessoa,Campus Avancado Joao Pessoa Mangabeira,campus_avancado,superior,IBGE
2508901,Mamanguape,Campus Mamanguape,campus,superior,IBGE
2509701,Monteiro,Campus Monteiro,campus,superior,IBGE
2510808,Patos,Campus Patos,campus,superior,IBGE
2511202,Pedras de Fogo,Campus Avancado Pedras de Fogo,campus_avancado,superior,IBGE
2511400,Picui,Campus Picui,campus,superior,IBGE
2512309,Princesa Isabel,Campus Princesa Isabel,campus,superior,IBGE
2512507,Queimadas,Campus Queimadas,campus,superior,IBGE
2513406,Santa Luzia,Campus Santa Luzia,campus,superior,IBGE
2513703,Santa Rita,Campus Santa Rita,campus,superior,IBGE
2515302,Sape,Campus Sape,campus,superior,IBGE
2516102,Soledade,Campus Avancado Soledade,campus_avancado,superior,IBGE
2516201,Sousa,Campus Sousa,campus,superior,IBGE
